id,name,type,path,audience_size,description
6004854404172,Facebook access: older devices and OS,behaviors,Behaviours|Digital activities|Facebook access: older devices and OS,538390095,"People who primarily access Facebook on older devices or operating systems before Windows 7, Mac OS X or Windows NT 6.2."
6028974351183,People in India who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|India|People in India who prefer mid- and high-value goods,133800834,"Aligned to (A+B) group, people in India who are predicted to prefer mid to high-value goods"
6085888777383,People in Mexico who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|Mexico|People in Mexico who prefer mid- and high-value goods,15023228,"Aligned to (ABC+) group, people in Mexico who are predicted to prefer mid to high-value goods"
6089632452783,People in Turkey who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|Turkey|People in Turkey who prefer mid- and high-value goods,6670816,"Aligned to (A+B) SES group, people in Turkey who are predicted to prefer mid- to high-value goods"
6100407062383,People in Pakistan who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|Pakistan|People in Pakistan who prefer mid- and high-value goods,6162959,"Aligned to (A+B) SEC group, people in Pakistan who are predicted to prefer mid- to high-value goods"
6100407234583,People in Malaysia who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|Malaysia|People in Malaysia who prefer mid- and high-value goods,6154472,"Aligned to (AB+C1) SEC group, people in Malaysia who are predicted to prefer mid- to high-value goods"
6086326078383,People in Argentina who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|Argentina|People in Argentina who prefer mid- and high-value goods,3301907,"Aligned to (ABC1+C2) group, people in Argentina who are predicted to prefer mid to high-value goods"
6086326068183,People in Chile who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|Chile|People in Chile who prefer mid- and high-value goods,2430413,"Aligned to (A+B) group, people in Chile who are predicted to prefer mid to high-value goods"
6082317378383,People who prefer mid and high-value goods in UAE,behaviors,Behaviours|Consumer classification|UAE|People who prefer mid and high-value goods in UAE,359255,"Aligned to (A+B) group, people in UAE who are predicted to prefer mid-to-high-value goods"
6110813675983,People in Brazil who prefer mid-value and high-value goods,behaviors,Behaviours|Consumer classification|Brazil|People in Brazil who prefer mid-value and high-value goods,43104279,"Aligned to (A+B+C) group, people in Brazil who are predicted to prefer mid-value and high-value goods"
6110446593183,People  in Indonesia who prefer mid-value and high-value goods,behaviors,Behaviours|Consumer classification|Indonesia|People  in Indonesia who prefer mid-value and high-value goods,34764629,"Aligned to (upper I, upper II and middle I) group, people in Indonesia who are predicted to prefer high-value goods"
6046096047583,People in South Africa who prefer mid- and high-value goods,behaviors,Behaviours|Consumer classification|South Africa|People in South Africa who prefer mid- and high-value goods,3916887,"Aligned to (5,6,7) LSM group, people in South Africa who are predicted to prefer mid- to high-value goods"
6110636171983,People who prefer mid-value and high-value goods in the Philippines,behaviors,Behaviours|Consumer classification|Philippines|People who prefer mid-value and high-value goods in the Philippines,24839620,"Aligned to (A+B) group, people in the Philippines who are predicted to prefer mid to high-value goods"
6004386044572,Facebook access (mobile): Android devices,behaviors,Behaviours|Mobile Device User|All Mobile Devices by Operating System|Facebook access (mobile): Android devices,1681592453,People who primarily access Facebook using any Android mobile device
6063136545383,Android: 360 degree media supported,behaviors,Behaviours|Mobile Device User|Android: 360 degree media supported,1167348262,"People whose primary mobile device is Android with support for 360-degree media (photos, videos)."
6065048233383,Android: 360 degree media not supported,behaviors,Behaviours|Mobile Device User|Android: 360 degree media not supported,60361909,"People whose primary mobile device is Android without support for 360 degree media (photos, videos)."
6004386010572,Facebook access (mobile): Samsung Android mobile devices,behaviors,Behaviours|Mobile Device User|All Mobile Devices by Brand|Facebook access (mobile): Samsung Android mobile devices,709006167,People who primarily access Facebook using a Samsung Android mobile device
6004385879572,Facebook access (mobile): Motorola Android mobile devices,behaviors,Behaviours|Mobile Device User|All Mobile Devices by Brand|Facebook access (mobile): Motorola Android mobile devices,74533434,People who primarily access Facebook using a Motorola Android mobile device
6004385868372,Facebook access(mobile): LG Android mobile devices,behaviors,Behaviours|Mobile Device User|All Mobile Devices by Brand|Facebook access(mobile): LG Android mobile devices,54238993,People who primarily access Facebook using an LG Android mobile device
6004385865172,Facebook access (mobile): Sony Android mobile devices,behaviors,Behaviours|Mobile Device User|All Mobile Devices by Brand|Facebook access (mobile): Sony Android mobile devices,13814783,People who primarily access Facebook using a Sony Android mobile device
6004385886572,Facebook access (mobile): HTC Android mobile devices,behaviors,Behaviours|Mobile Device User|All Mobile Devices by Brand|Facebook access (mobile): HTC Android mobile devices,5226104,People who primarily access Facebook using an HTC Android mobile device.
6003584163107,Advertising,interests,Interests|Business and industry|Advertising,551355890,
112831935394937,Advertising management,work_positions,Demographics|Work|Job titles|Advertising management,29990,
713797988738957,Advertising Executive,work_positions,Demographics|Work|Job titles|Advertising Executive,9899,
451374725013116,Advertising Consultant,work_positions,Demographics|Work|Job titles|Advertising Consultant,7202,
923504794347119,Advertising Director,work_positions,Demographics|Work|Job titles|Advertising Director,5422,
909987699053523,Advertising Coordinator,work_positions,Demographics|Work|Job titles|Advertising Coordinator,3387,
1416006695361499,Advertising Representative,work_positions,Demographics|Work|Job titles|Advertising Representative,2520,
6003526234370,Online advertising,interests,Interests|Business and industry|Online|Online advertising,185503868,
6003702887891,Advertising agency,interests,Interests|Additional interests|Advertising agency,33198550,
6003359292004,Classified advertising,interests,Interests|Additional interests|Classified advertising,11314390,
6003481391264,Display advertising,interests,Interests|Business and industry|Online|Display advertising,7101621,
6003654916220,Advertising campaign,interests,Interests|Additional interests|Advertising campaign,6770140,
6002879671572,Wrap advertising,interests,Interests|Additional interests|Wrap advertising,4196650,
6002900093762,Advertising Age,interests,Interests|Additional interests|Advertising Age,3496230,
6004114758224,Advertising slogan,interests,Interests|Additional interests|Advertising slogan,1648990,
6003108231590,Advertising mail,interests,Interests|Additional interests|Advertising mail,1353370,
6014887500985,Native advertising,interests,Interests|Additional interests|Native advertising,704510,
6003288101741,Mobile advertising,interests,Interests|Additional interests|Mobile advertising,386220,
6003796865278,Direct-to-consumer advertising,interests,Interests|Additional interests|Direct-to-consumer advertising,225150,
6003473927564,Contextual advertising,interests,Interests|Additional interests|Contextual advertising,222980,
6003512542680,Video advertising,interests,Interests|Additional interests|Video advertising,182440,
6003236619461,Advertising management,interests,Interests|Additional interests|Advertising management,96330,
6003336763509,Search advertising,interests,Interests|Additional interests|Search advertising,57190,
6003149142040,Recruitment advertising,interests,Interests|Additional interests|Recruitment advertising,5160,
6003193312834,Fast food advertising,interests,Interests|Additional interests|Fast food advertising,2920,
6004155205506,facebook advertising,interests,Interests|Additional interests|facebook advertising,23,
6002839104479,TheTruth.com,interests,Interests|Additional interests|TheTruth.com,112750,
6003415632335,Predictive modelling,interests,Interests|Additional interests|Predictive modelling,98869,
360125077513194,Advertising Sales Manager,work_positions,Demographics|Work|Job titles|Advertising Sales Manager,3893,
615929938539544,Advertising Copy Writer,work_positions,Demographics|Work|Job titles|Advertising Copy Writer,2615,
6003299460701,McDonald's advertising,interests,Interests|Additional interests|McDonald's advertising,44906830,
6003700363290,Performance-based advertising,interests,Interests|Additional interests|Performance-based advertising,1038020,
6003231467085,Advertising account executive,interests,Interests|Additional interests|Advertising account executive,910,
6003252371486,Cannes Lions International Festival of Creativity,interests,Interests|Additional interests|Cannes Lions International Festival of Creativity,488460,
6003389776512,The One Club,interests,Interests|Additional interests|The One Club,409610,
6003029778007,Television advertisement,interests,Interests|Additional interests|Television advertisement,11097480,
6002928562562,The Advertiser (Adelaide),interests,Interests|Additional interests|The Advertiser (Adelaide),1071300,
6003375643802,The Advertiser,interests,Interests|Additional interests|The Advertiser,924340,
6003518095464,Eyebrows (advertisement),interests,Interests|Additional interests|Eyebrows (advertisement),212021,
6003333776637,Galway Advertiser,interests,Interests|Additional interests|Galway Advertiser,153540,
6003840140052,Agriculture,interests,Interests|Business and industry|Agriculture,423493930,
6003224012272,Tropical agriculture,interests,Interests|Additional interests|Tropical agriculture,35800890,
6003339219456,Field (agriculture),interests,Interests|Additional interests|Field (agriculture),9785850,
6003279815223,Urban agriculture,interests,Interests|Additional interests|Urban agriculture,5837940,
6003193929872,Sustainable agriculture,interests,Interests|Additional interests|Sustainable agriculture,5114640,
6003311198908,Subsistence agriculture,interests,Interests|Additional interests|Subsistence agriculture,1373680,
6003589609273,Precision agriculture,interests,Interests|Additional interests|Precision agriculture,806369,
6003287962927,Biodynamic agriculture,interests,Interests|Additional interests|Biodynamic agriculture,715620,
6003472413487,Farm,interests,Interests|Additional interests|Farm,175384080,
6003371036540,Crop,interests,Interests|Additional interests|Crop,162408240,
6003322650741,Organic farming,interests,Interests|Additional interests|Organic farming,50236400,
6003495333694,Intensive farming,interests,Interests|Additional interests|Intensive farming,5245010,
6003355338851,Meadow,interests,Interests|Additional interests|Meadow,3569650,
6003092610817,Weed control,interests,Interests|Additional interests|Weed control,3165340,
6005601573480,Natural farming,interests,Interests|Additional interests|Natural farming,957380,
6003145361966,New Holland Agriculture,interests,Interests|Additional interests|New Holland Agriculture,7786000,
6003271653676,Community-supported agriculture,interests,Interests|Additional interests|Community-supported agriculture,509410,
6003434445743,History of agriculture,interests,Interests|Additional interests|History of agriculture,370830,
6003254804309,Field day (agriculture),interests,Interests|Additional interests|Field day (agriculture),270740,
6003257908688,Bangladesh Agricultural University,interests,Interests|Additional interests|Bangladesh Agricultural University,203170,
6003772570153,Intensive crop farming,interests,Interests|Additional interests|Intensive crop farming,260,
6003746141304,Food and Agriculture Organization,interests,Interests|Additional interests|Food and Agriculture Organization,3723680,
6002962208555,Ministry of Agriculture (France),interests,Interests|Additional interests|Ministry of Agriculture (France),303740,
6003334755497,Organic certification,interests,Interests|Additional interests|Organic certification,14367320,
6003252042475,Florida A&M University,interests,Interests|Additional interests|Florida A&M University,357090,
6003334623656,United States Department of Agriculture,interests,Interests|Additional interests|United States Department of Agriculture,11079550,
6002960724320,Jomo Kenyatta University of Agriculture and Technology,interests,Interests|Additional interests|Jomo Kenyatta University of Agriculture and Technology,243530,
6003198337967,Institute of Food and Agricultural Sciences,interests,Interests|Additional interests|Institute of Food and Agricultural Sciences,116100,
6003185234902,Vietnam Bank for Agriculture and Rural Development,interests,Interests|Additional interests|Vietnam Bank for Agriculture and Rural Development,1783220,
6003481310464,International University of Business Agriculture and Technology,interests,Interests|Additional interests|International University of Business Agriculture and Technology,932430,
6003116722426,"Secretariat of Agriculture, Livestock, Rural Development, Fisheries and Food",interests,Interests|Additional interests|"Secretariat of Agriculture, Livestock, Rural Development, Fisheries and Food",125340,
6003221195667,Agricultural machinery,interests,Interests|Additional interests|Agricultural machinery,31543490,
6003360682660,Agricultural science,interests,Interests|Additional interests|Agricultural science,20724550,
6003583902107,Agricultural cooperative,interests,Interests|Additional interests|Agricultural cooperative,8071310,
6002951571355,Agricultural engineering,interests,Interests|Additional interests|Agricultural engineering,7409918,
6003332952237,Agricultural show,interests,Interests|Additional interests|Agricultural show,3050020,
6004042885789,Agricultural economics,interests,Interests|Additional interests|Agricultural economics,534870,
6003091861470,Farmland,interests,Interests|Additional interests|Farmland,479130,
6003739730491,North Carolina Agricultural and Technical State University,interests,Interests|Additional interests|North Carolina Agricultural and Technical State University,324570,
6003427504889,Agricultural chemistry,interests,Interests|Additional interests|Agricultural chemistry,266330,
6013870686556,Norsk Landbrukssamvirke,interests,Interests|Additional interests|Norsk Landbrukssamvirke,166740,
6003039033329,Punjab Agricultural University,interests,Interests|Additional interests|Punjab Agricultural University,73000,
1666048040349228,Agricultural biotechnology,interests,Interests|Additional interests|Agricultural biotechnology,59820,
6003091850270,University of Arkansas at Pine Bluff,interests,Interests|Additional interests|University of Arkansas at Pine Bluff,55340,
6003342339689,University of Maryland Eastern Shore,interests,Interests|Additional interests|University of Maryland Eastern Shore,46840,
6003146174584,Royal Agricultural University,interests,Interests|Additional interests|Royal Agricultural University,31850,
6003435084331,University of Arkansas at Monticello,interests,Interests|Additional interests|University of Arkansas at Monticello,22020,
6004140335706,Architecture,interests,Interests|Business and industry|Architecture,472073460,
6002969456892,Modern architecture,interests,Interests|Additional interests|Modern architecture,68328610,
6003350422793,Interior architecture,interests,Interests|Additional interests|Interior architecture,56936000,
6003135760608,Landscape architecture,interests,Interests|Additional interests|Landscape architecture,43830020,
6003155170539,Portal (architecture),interests,Interests|Additional interests|Portal (architecture),43644930,
6002899280422,Architecture & Design,interests,Interests|Additional interests|Architecture & Design,39349119,
6003229966388,Islamic architecture,interests,Interests|Additional interests|Islamic architecture,15732700,
6003202856122,Ventilation (architecture),interests,Interests|Additional interests|Ventilation (architecture),13720640,
6003318361497,ARM architecture,interests,Interests|Additional interests|ARM architecture,12237780,
6003485553986,Gothic architecture,interests,Interests|Additional interests|Gothic architecture,11144050,
6003320165338,Atrium (architecture),interests,Interests|Additional interests|Atrium (architecture),7436610,
6003525950042,Vernacular architecture,interests,Interests|Additional interests|Vernacular architecture,7153360,
6004037566209,Computer architecture,interests,Interests|Additional interests|Computer architecture,6588880,
6018093529171,Architecture & Engineering,interests,Interests|Additional interests|Architecture & Engineering,6102250,
6003147971445,Pavement (architecture),interests,Interests|Additional interests|Pavement (architecture),5650060,
6002966143929,Neoclassical architecture,interests,Interests|Additional interests|Neoclassical architecture,5369060,
6003287036897,Classical architecture,interests,Interests|Additional interests|Classical architecture,3878400,
6003721852497,Ancient Roman architecture,interests,Interests|Additional interests|Ancient Roman architecture,2274340,
6003157639084,Sustainable architecture,interests,Interests|Additional interests|Sustainable architecture,2031200,
6003152456858,Renaissance architecture,interests,Interests|Additional interests|Renaissance architecture,1976550,
6003165855922,Victorian architecture,interests,Interests|Additional interests|Victorian architecture,1972210,
6003345961674,Enterprise architecture,interests,Interests|Additional interests|Enterprise architecture,1221300,
6002994218723,Rustic architecture,interests,Interests|Additional interests|Rustic architecture,1204210,
6003665274020,Art & Architecture,interests,Interests|Additional interests|Art & Architecture,1044870,
6002933371859,Naval architecture,interests,Interests|Additional interests|Naval architecture,830750,
6003702920891,Software architecture,interests,Interests|Additional interests|Software architecture,666836,
6003796005078,Architecture (magazine),interests,Interests|Additional interests|Architecture (magazine),216960,
6002971942974,Architecture Lab,interests,Interests|Additional interests|Architecture Lab,91880,
6003722582783,Data architecture,interests,Interests|Additional interests|Data architecture,21650,
6002976482659,AutoCAD Architecture,interests,Interests|Additional interests|AutoCAD Architecture,18850,
6002999401092,Door,interests,Interests|Additional interests|Door,100017480,
6003388110271,Pyramid,interests,Interests|Additional interests|Pyramid,17918940,
6003537156063,Porch,interests,Interests|Additional interests|Porch,17442410,
6003001298794,Ornament (art),interests,Interests|Additional interests|Ornament (art),12301120,
6003537170463,Attic,interests,Interests|Additional interests|Attic,11522140,
6003280528623,Ceiling,interests,Interests|Additional interests|Ceiling,9497600,
6003280784443,Rain gutter,interests,Interests|Additional interests|Rain gutter,7927910,
6003629221783,American Craftsman,interests,Interests|Additional interests|American Craftsman,7005100,
6007448470419,Autodesk Revit,interests,Interests|Additional interests|Autodesk Revit,5713300,
6003202870247,Courtyard,interests,Interests|Additional interests|Courtyard,5367180,
6003182543212,Gate,interests,Interests|Additional interests|Gate,4380090,
6003306197053,Entryway,interests,Interests|Additional interests|Entryway,2224400,
6004172800988,Architectural photography,interests,Interests|Additional interests|Architectural photography,2219800,
6003387381404,Component-based software engineering,interests,Interests|Additional interests|Component-based software engineering,2087900,
6003359980804,Frieze,interests,Interests|Additional interests|Frieze,2062870,
6003070033515,Environmental design,interests,Interests|Additional interests|Environmental design,573980,
6003567952103,Architecture & Interior Design,interests,Interests|Additional interests|Architecture & Interior Design,8860686,
6003284939359,High-tech architecture,interests,Interests|Additional interests|High-tech architecture,3982430,
6003286913541,Gothic Revival architecture,interests,Interests|Additional interests|Gothic Revival architecture,2328530,
6003339540256,Service-oriented architecture,interests,Interests|Additional interests|Service-oriented architecture,1393390,
6003222865976,"Interior, Design, Architecture",interests,Interests|Additional interests|"Interior, Design, Architecture",871635,
6003632883583,History of architecture,interests,Interests|Additional interests|History of architecture,610310,
6003140237966,World Architecture News,interests,Interests|Additional interests|World Architecture News,49770,
6003536717398,Shard (database architecture),interests,Interests|Additional interests|Shard (database architecture),24670,
6013278613532,Landscape Architecture Magazine,interests,Interests|Additional interests|Landscape Architecture Magazine,23230,
6003076874315,Metropolis (architecture magazine),interests,Interests|Additional interests|Metropolis (architecture magazine),19360,
6003489402857,Enterprise architecture framework,interests,Interests|Additional interests|Enterprise architecture framework,1580,
6003149607590,Event-driven architecture,interests,Interests|Additional interests|Event-driven architecture,980,
6003445288483,Chicago Architecture Foundation,interests,Interests|Additional interests|Chicago Architecture Foundation,760,
6002900717222,Blueprint (architecture magazine),interests,Interests|Additional interests|Blueprint (architecture magazine),20,
6003453031071,Basement,interests,Interests|Additional interests|Basement,24054100,
6003110071672,Bangladesh University of Engineering and Technology,interests,Interests|Additional interests|Bangladesh University of Engineering and Technology,1992750,
6003349528421,Architectural drawing,interests,Interests|Additional interests|Architectural drawing,674910,
6002969592092,ArchitectureWeek,interests,Interests|Additional interests|ArchitectureWeek,73890,
6003054877881,Architectural Association School of Architecture,interests,Interests|Additional interests|Architectural Association School of Architecture,86520,
6003257655482,Marine engineering & Naval architecture,interests,Interests|Additional interests|Marine engineering & Naval architecture,5790,
6003651670746,Venice Biennale of Architecture,interests,Interests|Additional interests|Venice Biennale of Architecture,3520,
6002926819572,Pipeline (software),interests,Interests|Additional interests|Pipeline (software),414010,
6003012204797,CUDA,interests,Interests|Additional interests|CUDA,154790,
6003030334207,Goa University,interests,Interests|Additional interests|Goa University,15840,
6003148905552,All India Engineering/Architecture Entrance Examination,interests,Interests|Additional interests|All India Engineering/Architecture Entrance Examination,1026610,
6003112303640,Indus Valley School of Art and Architecture,interests,Interests|Additional interests|Indus Valley School of Art and Architecture,256730,
6003336968759,Architectural style,interests,Interests|Additional interests|Architectural style,11657100,
6003159508834,Architectural Digest,interests,Interests|Additional interests|Architectural Digest,11135270,
6003346781327,Architectural engineering,interests,Interests|Additional interests|Architectural engineering,9066330,
6003163030017,Architectural rendering,interests,Interests|Additional interests|Architectural rendering,1279140,
6003182814722,Architectural Digest Mexico,interests,Interests|Additional interests|Architectural Digest Mexico,1230170,
6003501890147,Builders hardware,interests,Interests|Additional interests|Builders hardware,1055420,
6009006049103,Millwork (building material),interests,Interests|Additional interests|Millwork (building material),1017350,
6003398494483,Architectural lighting design,interests,Interests|Additional interests|Architectural lighting design,763800,
6003360704793,Architectural designer,interests,Interests|Additional interests|Architectural designer,355276,
6003650911090,Architectural design competition,interests,Interests|Additional interests|Architectural design competition,333220,
6003242219201,Architectural Design,interests,Interests|Additional interests|Architectural Design,256380,
6003102754429,Architectural Record,interests,Interests|Additional interests|Architectural Record,245618,
6003326018509,Architectural Review,interests,Interests|Additional interests|Architectural Review,64270,
6003584792126,Architecturally Significant Modern Homes,interests,Interests|Additional interests|Architecturally Significant Modern Homes,18690,
6003802243041,Hanoi Architectural University,interests,Interests|Additional interests|Hanoi Architectural University,6650,
6003321469559,Architects' Journal,interests,Interests|Additional interests|Architects' Journal,4940,
6010537424992,Software architectural model,interests,Interests|Additional interests|Software architectural model,3840,
6002963523717,Aviation,interests,Interests|Business and industry|Aviation,199495160,
112061068806753,Aviation Ordnanceman,work_positions,Demographics|Work|Job titles|Aviation Ordnanceman,16957,
655828491206421,Aviation Mechanic,work_positions,Demographics|Work|Job titles|Aviation Mechanic,7174,
6003158995875,Commercial aviation,interests,Interests|Additional interests|Commercial aviation,5196410,
6002973234174,Ultralight aviation,interests,Interests|Additional interests|Ultralight aviation,4761650,
6003064720270,Civil aviation,interests,Interests|Additional interests|Civil aviation,3193440,
6003288741943,General aviation,interests,Interests|Additional interests|General aviation,1186860,
6003602001103,Squadron (aviation),interests,Interests|Additional interests|Squadron (aviation),1029630,
6003331509494,Aviation photography,interests,Interests|Additional interests|Aviation photography,735860,
6003196561465,Aviation museum,interests,Interests|Additional interests|Aviation museum,704010,
6002893731479,History of aviation,interests,Interests|Additional interests|History of aviation,373370,
6003450223842,Naval aviation,interests,Interests|Additional interests|Naval aviation,162620,
6003396378131,Dassault Aviation,interests,Interests|Additional interests|Dassault Aviation,138960,
6003076159139,Jet Aviation,interests,Interests|Additional interests|Jet Aviation,123080,
6003065640607,aviation week,interests,Interests|Additional interests|aviation week,114420,
6003259465357,Army aviation,interests,Interests|Additional interests|Army aviation,104380,
6003392425577,Aviation News,interests,Interests|Additional interests|Aviation News,15850,
6003195766498,Flight instructor,interests,Interests|Additional interests|Flight instructor,772290,
6003352600719,Federal Aviation Administration,interests,Interests|Additional interests|Federal Aviation Administration,5458480,
6003703242513,EAA - The Spirit of Aviation,interests,Interests|Additional interests|EAA - The Spirit of Aviation,258510,
6003715743946,General Aviation News,interests,Interests|Additional interests|General Aviation News,150010,
6008534270805,Military Aviation Museum,interests,Interests|Additional interests|Military Aviation Museum,77360,
6003235767188,Aviation Management College,interests,Interests|Additional interests|Aviation Management College,63760,
6003386745804,First class (aviation),interests,Interests|Additional interests|First class (aviation),26870,
6003518088264,Evergreen Aviation & Space Museum,interests,Interests|Additional interests|Evergreen Aviation & Space Museum,11420,
6005914075989,Pacific Aviation Museum Pearl Harbor,interests,Interests|Additional interests|Pacific Aviation Museum Pearl Harbor,2770,
6003651338546,Business jet,interests,Interests|Additional interests|Business jet,4216260,
6003191357084,International Civil Aviation Organization,interests,Interests|Additional interests|International Civil Aviation Organization,2485350,
6003717055546,Aviation accidents and incidents,interests,Interests|Additional interests|Aviation accidents and incidents,1729080,
6003201736613,Aviation Week & Space Technology,interests,Interests|Additional interests|Aviation Week & Space Technology,253790,
6003853250091,National Naval Aviation Museum,interests,Interests|Additional interests|National Naval Aviation Museum,164990,
6002920917555,National Business Aviation Association,interests,Interests|Additional interests|National Business Aviation Association,114980,
6003240192810,Royal Canadian Air Force,interests,Interests|Additional interests|Royal Canadian Air Force,2605060,
6004160584495,United States Army Aviation Branch,interests,Interests|Additional interests|United States Army Aviation Branch,36940,
6003093237617,United States Marine Corps Aviation,interests,Interests|Additional interests|United States Marine Corps Aviation,10230,
6003132706900,École nationale de l'aviation civile,interests,Interests|Additional interests|École nationale de l'aviation civile,89320,
6002879549572,Fort Rucker,interests,Interests|Additional interests|Fort Rucker,87010,
6003145316100,National Interagency Fire Center,interests,Interests|Additional interests|National Interagency Fire Center,61540,
6003104353917,CAT (magazine),interests,Interests|Additional interests|CAT (magazine),7560,
6020340681088,Pilot (aeronautics),interests,Interests|Additional interests|Pilot (aeronautics),22044900,
6003397055335,The Aviator (2004 film),interests,Interests|Additional interests|The Aviator (2004 film),1617020,
6003109992872,Ray-Ban Aviator,interests,Interests|Additional interests|Ray-Ban Aviator,1360528,
6003056708044,Aviator Sunglasses,interests,Interests|Additional interests|Aviator Sunglasses,20870,
6002876919172,Ray-Ban Aviators,interests,Interests|Additional interests|Ray-Ban Aviators,440,
6003297396138,Banking,interests,Interests|Business and industry|Banking,484616770,
809628339131593,Banking Manager,work_positions,Demographics|Work|Job titles|Banking Manager,2409,
6003466585319,Online banking,interests,Interests|Business and industry|Banking|Online banking,103437000,
6003063638807,Investment banking,interests,Interests|Business and industry|Banking|Investment banking,33094651,
6003062205328,Retail banking,interests,Interests|Business and industry|Banking|Retail banking,26977610,
6003732189062,Branch (banking),interests,Interests|Additional interests|Branch (banking),19012660,
6003715922462,Mobile banking,interests,Interests|Additional interests|Mobile banking,15534800,
6003527265625,Islamic banking,interests,Interests|Additional interests|Islamic banking,15344088,
6003102546240,Private banking,interests,Interests|Additional interests|Private banking,2154150,
6003975981748,Ethical banking,interests,Interests|Additional interests|Ethical banking,408340,
6003486505269,SMS banking,interests,Interests|Additional interests|SMS banking,107200,
6003133759617,Wholesale banking,interests,Interests|Additional interests|Wholesale banking,8240,
6003495817403,Peer-to-peer banking,interests,Interests|Additional interests|Peer-to-peer banking,2500,
